"opcode","name","builtin","f1","f2","f3","i1","i2","o1","o2","m1","m2","token","comment"
"137","Kind","KIND","Kind","undef","undef","XX","YY","BU","BU","1","1","OK","f9	(any)"
"138","Ubound","UBOUND","Bound","undef","Ubound","XX","YY","L","L","1","2","OK","f9	(array,[dim])"
"139","DComplex","D_COMPLEX","Same","Cmplx","Complex","D","D","DC","DC","1","2","CAST+N+I","%	(x,y)"
"140","DFloat","D_FLOAT","Same","Keep","undef","D","D","D","D","1","1","CAST+N+I","%	(a)"
"141","Range","RANGE","Scalar","Any","Range","F","HC","L","L","1","1","OK","f9	(model)"
"142","Precision","PRECISION","Scalar","Any","Precision","F","HC","L","L","1","1","OK","f9	(model)"
"143","Elbound","ELBOUND","Ebound","undef","Elbound","XX","YY","BU","H","1","2","OK","(array,[dim])"
"144","Else","ELSE","Else","undef","undef","XX","YY","XX","YY","0","0","ELSE+N+I","%cc placeholder IF"
"145","Elsewhere","ELSEWHERE","Else","undef","undef","XX","YY","XX","YY","0","0","ELSEW+N+I","%f9 placeholder WHERE"
"146","Encode","ENCODE","Encode","undef","undef","XX","YY","T","T","1","254","OK","%	(fmt|*,arg...)"
"147","Endfile","ENDFILE","Endfile","undef","undef","L","L","L","L","1","1","OK+U","f9	(unit)"
"148","EndOf","END_OF","EndOf","undef","undef"," WINDOW","RANGE","XX","YY","1","2","OK+I","mds	(window slope,[n] range)"
"149","Eoshift","EOSHIFT","Shift","undef","Eoshift","XX","YY","XX","YY","3","4","OK","f9	(arr,dim,shift,[bndry])"
"150","Epsilon","EPSILON","Scalar","Keep","Epsilon","F","HC","F","HC","1","1","OK","f9	(model)"
"151","Eq","EQ","Same","Eq","Eq","XX","YY","VV","VV","2","2","LEQ+N+S","%	a==b	a.EQ.b"
"152","Equals","EQUALS","Equals","undef","undef","XX","YY","XX","YY","2","2","OK+S+U","%	a = b"
"153","EqualsFirst","EQUALS_FIRST","EqualsFirst","undef","undef","XX","YY","XX","YY","1","1","OK+S+U","%	a binop = b"
"154","Eqv","EQV","Same","Land","Eqv","BU","O","VV","VV","2","2","LEQV+N","%	(v,w)	v.EQV.w"
"155","Eshape","ESHAPE","Ebound","undef","Eshape","XX","YY","BU","H","1","2","OK","(array,[dim])"
"156","Esize","ESIZE","Ebound","undef","Esize","XX","YY","BU","H","1","2","OK","(array,[dim])"
"157","Eubound","EUBOUND","Ebound","undef","Eubound","XX","YY","BU","H","1","2","OK","(array,[dim])"
"158","Evaluate","EVALUATE","Evaluate","undef","undef","XX","YY","XX","YY","1","1","OK","(reeval_expression)"
"159","Execute","EXECUTE","Execute","undef","undef","T","T","XX","YY","1","254","OK","(string,[arguments...])"
"160","Exp","EXP","Same","NoHc","Exp","F","HC","F","HC","1","1","OK","f9	(z)"
"161","Exponent","EXPONENT","Same","Keep","Exponent","F","HC","L","L","1","1","OK","f9	(x)"
"162","ExtFunction","EXT_FUNCTION","ExtFunction","undef","undef","XX","YY","XX","YY","2","254","OK+S+U","mds (image,routine,a...)"
"163","Fft","FFT","Fft","undef","undef","FC","HC","FC","HC","2","2","OK","(array,direction)"
"164","FirstLoc","FIRSTLOC","Trans","Mask1","FirstLoc","BU","O","VV","VV","1","2","OK","(mask,[dim])"
"165","Fit","FIT","Fit","undef","undef","F","HC","F","HC","2","2","OK","(X_guess,residuals(X))"
"166","FixRoprand","FIX_ROPRAND","Same","Fix","FixRoprand","BU","HC","BU","HC","2","2","OK","(a,replacement)"
"167","Float","FLOAT","Same","Real","undef","F","H","F","H","1","2","CAST+N+I","(a,[kind])"
"168","Floor","FLOOR","Same","Aint","Floor","F","HC","F","HC","1","1","OK","f9	(x)"
"169","For","FOR","For","undef","undef","XX","YY","XX","YY","4","254","FOR+N","%cc	FOR(expr;expr;expr)stmt"
"170","Fraction","FRACTION","Same","Keep","Fraction","F","HC","F","HC","1","1","OK","f9	(x)"
