"opcode","name","builtin","f1","f2","f3","i1","i2","o1","o2","m1","m2","token","comment"
"302","Return","RETURN","Return","undef","undef","XX","YY","XX","YY","0","1","RETURN+N+U","%cc (expr);"
"303","Rewind","REWIND","Rewind","undef","undef","L","L","L","L","1","1","OK+U","%f9	(unit)"
"304","Rms","RMS","Trans","Mask3","Rms","F","HC","F","H","1","3","OK","(array,[dim],[mask])"
"305","RoutineOf","ROUTINE_OF","RoutineOf","undef","undef"," FUNCTION","ROUTINE","T","T","1","1","OK+I","mds	(ext_fun routine)"
"306","RrSpacing","RRSPACING","Same","Keep","RrSpacing","F","HC","F","HC","1","1","OK","f9	(x)"
"307","Scale","SCALE","Same","Long2","Scale","F","HC","F","HC","2","2","OK","f9	(r,i)"
"308","Scan","SCAN","Same","Ttb","Scan","T","T","SUBSCRIPT","SUBSCRIPT","2","3","OK","f9	(string,set,[back])"
"309","Fseek","FSEEK","Fseek","undef","undef","L","L","L","L","1","3","OK+U","%cc	(unit,[offset],[origin])"
"310","SetExponent","SET_EXPONENT","Same","Long2","SetExponent","F","HC","F","HC","2","2","OK","f9	(x,i)"
"311","SetRange","SET_RANGE","SetRange","undef","undef","XX","YY","XX","YY","2","1+MAX_DIMS","OK+I","%	(range...,name)"
"312","Ishft","ISHFT","Same","Shft","Ishft","BU","O","BU","O","2","2","OK","f9	(a,shift)"
"313","Ishftc","ISHFTC","Same","Shft","Ishftc","BU","O","BU","O","3","3","OK","f9	(a,shift,size)"
"314","ShiftLeft","SHIFT_LEFT","Same","Shft","ShiftLeft","BU","O","BU","O","2","2","SHIFT+S","%cc	i<<j"
"315","ShiftRight","SHIFT_RIGHT","Same","Shft","ShiftRight","BU","O","BU","O","2","2","SHIFT+S","%cc	i>>j sign=signed"
"316","Sign","SIGN","Same","Sign","Sign","BU","HC","BU","HC","2","2","OK","f9	(a,b)"
"317","Signed","SIGNED","Same","Keep","undef","B","O","B","O","1","1","CAST+N+I","%	(a)"
"318","Sin","SIN","Same","NoHc","Sin","F","HC","F","HC","1","1","OK","f9	(x) "
"319","Sind","SIND","Same","None","Sind","F","HC","F","HC","1","1","OK","vax	(x)"
"320","Sinh","SINH","Same","None","Sinh","F","HC","F","HC","1","1","OK","f9	(x)"
"321","SizeOf","SIZEOF","Scalar","Any","SizeOf","XX","YY","L","L","1","1","SIZEOF+N","%ccmod (expr)"
"322","SlopeOf","SLOPE_OF","SlopeOf","undef","undef","SLOPE","RANGE","BU","HC","1","2","OK+I","mds	(slope range,[n])"
"323","Smooth","SMOOTH","Same","Long2","Smooth","BU","HC","BU","HC","2","2","OK","(a,width)"
"324","Solve","SOLVE","Matrix","Divide","Solve","F","HC","F","HC","2","2","OK","(right,matrix)"
"325","SortVal","SORTVAL","SortVal","undef","undef","T","HC","T","HC","1","2","OK","(array,[upcase])"
"326","Spacing","SPACING","Same","Keep","Spacing","F","HC","F","HC","1","1","OK","f9	(x)"
"327","Spawn","SPAWN","Spawn","undef","undef","T","T","L","L","0","3","OK+U","vax	(cmd,input,output)"
"328","Spread","SPREAD","Trans","Sign","Spread","XX","YY","XX","YY","3","3","OK","f9	(a,dim,ncopies)"
"329","Sqrt","SQRT","Same","NoHc","Sqrt","F","HC","F","HC","1","1","OK","f9	(z)"
"330","Square","SQUARE","Same","Square","Square","BU","HC","BU","HC","1","1","OK","(z) a**2"
"331","Statement","STATEMENT","Statement","undef","undef","XX","YY","XX","YY","0","254","OK+S","%cc	{a;..} evl&forget..null"
"332","StdDev","STD_DEV","Trans","Mask3","StdDev","F","HC","F","HC","1","3","OK","(array,[dim],[mask])"
"333","String","STRING","String","undef","undef","XX","YY","T","T","1","254","OK","(a,...[format])"
"334","StringOpcode","STRING_OPCODE","Same","None","StringOpcode","T","T","W","W","1","1","OK","mds	(string)"
"335","Subscript","SUBSCRIPT","Subscript","undef","undef","XX","YY","XX","YY","1","1+MAX_DIMS","OK+S","%cc a[b..] range list sig"
"336","Subtract","SUBTRACT","Same","Add","Subtract","BU","HC","BU","HC","2","2","ADD+S","%	a-b"
"337","Sum","SUM","Trans","Mask3","Sum","BU","HC","BU","HC","1","3","OK","f9	(array,[dim],[mask])"
"338","Switch","SWITCH","Switch","undef","undef","XX","YY","XX","YY","2","254","SWITCH+N","%cc SWITCH(expr)stmt"
"339","SystemClock","SYSTEM_CLOCK","Same","None","SystemClock","XX","YY","L","L","1","1","OK+U","f9variant (string)"
"340","Tan","TAN","Same","None","Tan","F","HC","F","HC","1","1","OK","(x)"
"341","Tand","TAND","Same","None","Tand","F","HC","F","HC","1","1","OK","vax	(x)"
"342","Tanh","TANH","Same","None","Tanh","F","HC","F","HC","1","1","OK","f9	(x)"
"343","TaskOf","TASK_OF","TaskOf","undef","undef","ACTION","ACTION","PROGRAM","METHOD","1","1","OK+I","mds	(action)"
"344","Text","TEXT","Same","Text","undef","BU","T","T","T","1","2","OK","(a,[length])"
"345","TimeoutOf","TIME_OUT_OF","TimeoutOf","undef","undef"," PROGRAM","METHOD","XX","YY","1","1","OK+I","mds	(prog rout proc meth)"
"346","Tiny","TINY","Scalar","Keep","Tiny","F","HC","F","H","1","1","OK","f9	(model)"
"347","Transfer","TRANSFER","Transfer","undef","undef","XX","YY","XX","YY","2","3","OK","f9	(a,mold,[size])"
"348","Transpose_","TRANSPOSE_","Matrix","undef","Transpose","XX","YY","XX","YY","1","1","OK","f9	(matrix) 2D"
"349","Trim","TRIM","Trim","undef","Trim","T","T","T","T","1","1","OK","f9	(string)"
"350","UnaryMinus","UNARY_MINUS","Same","Keep","UnaryMinus","BU","HC","B","HC","1","1","UNARY+I+S","%	-a"
"351","UnaryPlus","UNARY_PLUS","Same","Keep","undef","BU","HC","B","HC","1","1","UNARY+I+S","%	+a"
"352","Union","UNION","Union","undef","undef","XX","YY","XX","YY","0","254","OK","(a,b)"
"353","Units","UNITS","Units","undef","undef","XX","YY","T","T","1","1","OK","mds	(with_units none)"
"354","UnitsOf","UNITS_OF","UnitsOf","undef","undef"," WITH_UNITS","WITH_UNITS","UNITS","UNITS","1","1","OK+I","mds	(with_units)"
"355","Unpack","UNPACK","Unpack","undef","undef","XX","YY","XX","YY","3","3","OK","f9	(vector,mask,field)"
"356","Unsigned","UNSIGNED","Same","Keep","undef","BU","OU","BU","OU","1","1","CAST+N+I","%	(a)"
"357","Val","VAL","Else","undef","undef","L","L","XX","YY","1","1","OK","vax	(long)"
"358","ValidationOf","VALIDATION_OF","ValidationOf","undef","undef"," PARAM","PARAM","XX","YY","1","1","OK+I","mds	(param)"
"359","ValueOf","VALUE_OF","ValueOf","undef","undef","XX","YY","XX","YY","1","1","OK+I","mds	(param signal wind VMS)"
"360","Var","VAR","Var","undef","undef","T","T","XX","YY","1","2","OK+U","(string,[exp]) variable"
"361","Vector","VECTOR","Vector","undef","undef","XX","YY","XX","YY","0","254","OK+I+S","%f9+ [a..z1:z2:dz..n@[this]]"
"362","Verify","VERIFY","Same","Ttb","Verify","BU","T","SUBSCRIPT","SUBSCRIPT","2","3","OK","f9	(string,set,[back])"
"363","Wait","WAIT","Wait","undef","undef","F","F","F","F","1","1","OK+U","(seconds)"
"364","WhenOf","WHEN_OF","WhenOf","undef","undef"," ACTION","DISPATCH","XX","YY","1","1","OK+I","mds	(dispatch)"
"365","Where","WHERE","Where","undef","undef","XX","YY","XX","YY","2","3","WHERE+N","%f9	WHERE(expr)stmtELSEWHERE"
"366","While","WHILE","While","undef","undef","XX","YY","XX","YY","2","254","WHILE+N","%cc	WHILE(expr)stmt"
"367","WindowOf","WINDOW_OF","WindowOf","undef","undef","DIMENSION","DIMENSION","WINDOW","WINDOW","1","1","OK+I","mds	(dimension)"
"368","Word","WORD","Same","Keep","undef","W","W","W","W","1","1","CAST+N+I","%	(a) (signed short)"
"369","WordUnsigned","WORD_UNSIGNED","Same","Keep","undef","WU","WU","WU","WU","1","1","CAST+N+I","%	(a) (unsigned short)"
"370","Write","WRITE","Write","undef","undef","XX","YY","L","L","1","254","OK+U","%	(unit|*,arg...)"
"371","Zero","ZERO","Array","undef","Zero","XX","YY","FLOAT","F","0","2","OK+U","([size],[kind])"
"372","2Pi","$2PI","Constant","undef","2Pi","F","HC","F","HC","0","0","CONST","twice pi"
"373","Narg","$NARG","Constant","undef","Narg","L","L","L","L","0","0","CONST","FUN number of arguments"
"374","Element","ELEMENT","Same","Element","Element","BU","T","T","T","3","3","OK","dcl	(position,delim,string)"
"375","RcDroop","RC_DROOP","Trans","Sign","RcDroop","F","HC","F","HC","3","3","OK","(x,dim,rc-time)"
"376","ResetPrivate","RESET_PRIVATE","ResetPrivate","undef","undef","XX","YY","XX","YY","0","0","OK+U","mds	()"
"377","ResetPublic","RESET_PUBLIC","ResetPublic","undef","undef","XX","YY","XX","YY","0","0","OK+U","mds	()"
"378","ShowPrivate","SHOW_PRIVATE","ShowPrivate","undef","undef","XX","YY","XX","YY","0","254","OK+U","mds	([list...])"
"379","ShowPublic","SHOW_PUBLIC","ShowPublic","undef","undef","XX","YY","XX","YY","0","254","OK+U","mds	([list...])"
"380","ShowVm","SHOW_VM","ShowVm","undef","undef","L","L","XX","YY","0","2","OK+U","vax	(print_option, mask)"
"381","Translate","TRANSLATE","Same","Adjust","Translate","T","T","T","T","3","3","OK","vax	(string,translat,match)"
"382","TransposeMul","TRANSPOSE_MUL","Matrix","undef","TransposeMul","BU","FC","BU","FC","2","2","OK","(a,b)	(a+)*b"
"383","Upcase","UPCASE","Same","Adjust","Upcase","T","T","T","T","1","1","OK","(string)"
"384","Using","USING","Using","undef","undef","XX","YY","XX","YY","2","4","USING+N","mds	(exp,[def],[sht],[expt])"
"385","Validation","VALIDATION","Validation","undef","undef","PARAM","PARAM","XX","YY","1","1","OK","mds	(param)	data(val_of())"
"386","MdsDefault","$DEFAULT","Trim","undef","MdsDefault","XX","YY","T","T","0","0","CONST","mds	tree path"
"387","Expt","$EXPT","Trim","undef","Expt","XX","YY","T","T","0","0","CONST","mds	experiment name"
"388","Shot","$SHOT","Trim","undef","Shot","L","L","L","L","0","0","CONST","mds	shot number"
"389","GetDbi","GETDBI","GetDbi","undef","undef","T","T","T","BU","1","2","OK","mds	(string,[index])"
"390","Cull","CULL","Cull","undef","undef","XX","YY","XX","YY","1","4","OK","mds	(arr dim,[dim],[sub],upc)"
"391","Extend","EXTEND","Extend","undef","undef","XX","YY","XX","YY","1","4","OK","mds	(arr dim,[dim],[sub],upc)"
"392","ItoX","I_TO_X","ItoX","undef","undef","T","HC","T","HC","1","2","OK","mds	(dimension,[indices])"
"393","XtoI","X_TO_I","ItoX","undef","undef","T","HC","T","HC","1","2","OK","mds	(dimension,[axis_pts])"
"394","Map","MAP","Map","undef","undef","SUBSCRIPT","SUBSCRIPT","XX","YY","2","2","OK","mds	(array,indices)"
"395","CompileDependency","COMPILE_DEPENDENCY","CompileDependency","undef","undef","T","T","DEPENDENCY","DEPENDENCY","1","1","OK+I","mds	(text)"
"396","DecompileDependency","DECOMPILE_DEPENDENCY","DecompileDependency","undef","undef","DEPENDENCY","DEPENDENCY","T","T","1","1","OK+I","mds	(dependency)"
"397","BuildCall","BUILD_CALL","Build","undef","undef","XX","YY","CALL","BU","3","254","OK+I","mds	(type,imag,rout,[arg]..)"
"398","ErrorlogsOf","ERRORLOGS_OF","ErrorlogsOf","undef","undef"," ACTION","ACTION","XX","YY","1","1","OK+I","mds	(action)"
"399","PerformanceOf","PERFORMANCE_OF","PerformanceOf","undef","undef"," ACTION","ACTION","XX","YY","1","1","OK+I","mds	(action)"
"400","Xd","XD","Else","undef","undef","XX","YY","DSC","DSC","1","1","OK","mds	(any)"
"401","ConditionOf","CONDITION_OF","ConditionOf","undef","undef","CONDITION","CONDITION","XX","YY","1","1","OK+I","mds	(condition)"
"402","Sort","SORT","Sort","undef","undef","T","HC","SUBSCRIPT","SUBSCRIPT","1","2","OK","(array,[upcase])"
"403","This","$THIS","This","undef","undef","XX","YY","XX","YY","0","0","CONST","mds	signal param or dimen"
"404","DataWithUnits","DATA_WITH_UNITS","DataWithUnits","undef","undef","XX","YY","XX","YY","1","1","OK+I","mds	(any)"
"405","Atm","$ATM","Constant","undef","P0","F","HC","F","HC","0","0","CONST","atmospheric pressure"
"406","Epsilon0","$EPSILON0","Constant","undef","Epsilon0","F","HC","F","HC","0","0","CONST","permitivity of vacuum"
"407","Gn","$GN","Constant","undef","Gn","F","HC","F","HC","0","0","CONST","acceleration of gravity"
"408","Mu0","$MU0","Constant","undef","Mu0","F","HC","F","HC","0","0","CONST","permeability of vacuum"
"409","Extract","EXTRACT","Same","Extract","Extract","BU","T","T","T","3","3","OK","dcl	(start,length,string)"
"410","Finite","FINITE","Same","Any","Finite","T","HC","VV","VV","1","1","OK","idl	(a)"
"411","BitSize","BIT_SIZE","Scalar","Keep","BitSize","BU","HC","L","L","1","1","OK","f9+ (i)"
"412","Modulo","MODULO","Same","Add","Modulo","BU","HC","BU","HC","2","2","MUL+N","f9	(a,p)"
"413","SelectedIntKind","SELECTED_INT_KIND","Scalar","Any","SelectedIntKind","BU","HC","L","L","1","1","OK","f9	(r)"
"414","SelectedRealKind","SELECTED_REAL_KIND","Scalar","Any","SelectedRealKind","BU","HC","L","L","1","2","OK","f9	(p,r)"
"415","Dsql","DSQL","Dsql","undef","undef","XX","YY","L","L","1","254","OK+U","(string,in,...outs,...)"
"416","Isql","ISQL","Isql","undef","undef","T","T","L","L","1","1","OK+U","(string)"
"417","Ftell","FTELL","Ftell","undef","undef","L","L","L","L","1","1","OK+U","%cc	pos=(unit)"
"418","MakeAction","MAKE_ACTION","Make","undef","undef","XX","YY","ACTION","ACTION","2","5","OK+I","mds	(dis,task,err,comp,perf)"
"419","MakeCondition","MAKE_CONDITION","Make","undef","undef","XX","YY","CONDITION","WU","2","2","OK+I","mds	(opcode,condition)"
"420","MakeConglom","MAKE_CONGLOM","Make","undef","undef","XX","YY","CONGLOM","CONGLOM","4","4","OK+I","mds	(image,model,name,qual)"
"421","MakeDependency","MAKE_DEPENDENCY","Make","undef","undef","XX","YY","DEPENDENCY","WU","3","3","OK+I","mds	(opcode,arg1,arg2)"
"422","MakeDim","MAKE_DIM","Make","undef","undef","XX","YY","DIMENSION","DIMENSION","2","2","OK+I","mds	(window,axis)"
"423","MakeDispatch","MAKE_DISPATCH","Make","undef","undef","XX","YY","DISPATCH","BU","5","5","OK+I","mds	(type,id,phase,when,com)"
"424","MakeFunction","MAKE_FUNCTION","Make","undef","undef","XX","YY","FUNCTION","WU","1","254","OK+I","mds	(opcode,[arguments...])"
"425","MakeMethod","MAKE_METHOD","Make","undef","undef","XX","YY","METHOD","METHOD","3","254","OK+I","mds	(timeout,method,obj,...)"
"426","MakeParam","MAKE_PARAM","Make","undef","undef","XX","YY","PARAM","PARAM","3","3","OK+I","mds	(value,help,validation)"
"427","MakeProcedure","MAKE_PROCEDURE","Make","undef","undef","XX","YY","PROCEDURE","PROCEDURE","3","254","OK+I","mds	(timeout,lang,proc,...)"
"428","MakeProgram","MAKE_PROGRAM","Make","undef","undef","XX","YY","PROGRAM","PROGRAM","2","2","OK+I","mds	(timeout,program)"
"429","MakeRange","MAKE_RANGE","Make","undef","undef","XX","YY","RANGE","RANGE","2","3","OK+I","mds	([low],[high],[step])"
"430","MakeRoutine","MAKE_ROUTINE","Make","undef","undef","XX","YY","ROUTINE","ROUTINE","3","254","OK+I","mds	(timeout,image,rout,..)"
"431","MakeSignal","MAKE_SIGNAL","Make","undef","undef","XX","YY","SIGNAL","SIGNAL","2","2+MAX_DIMS","OK+I","mds	(data,raw,[dim...])"
"432","MakeWindow","MAKE_WINDOW","Make","undef","undef","XX","YY","WINDOW","WINDOW","3","3","OK+I","mds	(istart,iend,x_at_0)"
"433","MakeWithUnits","MAKE_WITH_UNITS","Make","undef","undef","XX","YY","WITH_UNITS","WITH_UNITS","2","2","OK+I","mds	(data,units)"
"434","MakeCall","MAKE_CALL","Make","undef","undef","XX","YY","CALL","BU","3","254","OK+I","mds	(type,imag,rout,[arg]..)"
"435","ClassOf","CLASS_OF","ClassOf","undef","undef","XX","YY","BU","BU","1","1","OK","vms	(any)"
"436","DscptrOf","DSCPTR_OF","DscptrOf","undef","undef","XX","YY","XX","YY","1","2","OK+I","mds	(any_class_R,[num])"
"437","KindOf","KIND_OF","KindOf","undef","undef","XX","YY","BU","BU","1","1","OK","mds	(any)"
"438","NdescOf","NDESC_OF","NdescOf","undef","undef","PARAM","WITH_ERROR","BU","BU","1","1","OK","mds	(class_R)"
"439","Accumulate","ACCUMULATE","Trans","Mask3","Accumulate","BU","HC","BU","HC","1","3","OK","(x,[dim],[mask])"
"440","MakeSlope","MAKE_SLOPE","Make","undef","undef","XX","YY","SLOPE","SLOPE","1","254","OK+I","mds	(slope,[begin,end]...)"
"441","Rem","REM","Rem","undef","undef","XX","YY","XX","YY","1","254","OK+U","(any,...)"
"442","CompletionMessageOf","COMPLETION_MESSAGE_OF","CompletionMessageOf","undef","undef","ACTION","ACTION","XX","YY","1","1","OK+I","mds	(dispatch)"
"443","InterruptOf","INTERRUPT_OF","InterruptOf","undef","undef","ACTION","DISPATCH","T","T","1","1","OK+I","mds	(dispatch)"
"444","Shotname","$SHOTNAME","Trim","undef","Shotname","T","T","T","T","0","0","CONST","mds	shot number"
"445","BuildWithError","BUILD_WITH_ERROR","Build"," undef","undef","XX","YY","WITH_ERROR","WITH_ERROR","2","2","OK+I","mds	(data,error)"
"446","ErrorOf","ERROR_OF","ErrorOf"," undef","undef","WITH_ERROR","WITH_ERROR","XX","YY","1","1","OK+I","mds	(with_error)"
"447","MakeWithError","MAKE_WITH_ERROR","Make","undef","undef","XX","YY","WITH_ERROR","WITH_ERROR","2","2","OK+I","mds	(data,error)"
"448","DoTask","DO_TASK","DoTask"," undef","undef","ACTION","METHOD","XX","XX","1","1","OK","mds	(routine/method)"
"449","IsqlSet","ISQL_SET","IsqlSet"," undef","undef","L","L","XX","YY","1","3","OK+U","(width,head)"
"450","FS_float","FS_FLOAT","Same","Keep","undef","FS","FS","FS","FS","1","1","CAST+N+I","%	(a)"
"451","FS_complex","FS_COMPLEX","Same","Cmplx","Complex","FS","FS","FSC","FSC","1","2","CAST+N+I","%	(x,y)"
"452","FT_float","FT_FLOAT","Same","Keep","undef","FT","FT","FT","FT","1","1","CAST+N+I","%	(a)"
"453","FT_complex","FT_COMPLEX","Same","Cmplx","Complex","FT","FT","FTC","FTC","1","2","CAST+N+I","%	(x,y)"
"454","BuildOpaque","BUILD_OPAQUE","Build","undef","undef","XX","YY","OPAQUE","OPAQUE","2","2","OK+I","mds (data,type_string)"
"455","MakeOpaque","MAKE_OPAQUE","Make","undef","undef","XX","YY","OPAQUE","OPAQUE","2","2","OK+I","mds (data,type_string)"
"456","Dict","DICT","Dict","undef","undef","XX","YY","XX","YY","0","254","OK+I+S","%f9+ [a..z1:z2:dz..n@[this]]"
"457","Tuple","TUPLE","Tuple","undef","undef","XX","YY","XX","YY","0","254","OK+I+S","%f9+ [a..z1:z2:dz..n@[this]]"
"458","List","LIST","List","undef","undef","XX","YY","XX","YY","0","254","OK+I+S","%f9+ [a..z1:z2:dz..n@[this]]"
"459","Squeeze","SQUEEZE","Reshape","undef","undef","XX","YY","XX","YY","1","2","OK","%f9+ squeeze(array, [min ndim]) "
"460","Flatten","FLATTEN","Reshape","undef","undef","XX","YY","XX","YY","1","1","OK","%f9+ flatten(array) "
